post_id,scheme,category,title,answer
0,Stand Up India buissness,business loan for backward,Nature,"The objective of the Stand-Up India scheme is to facilitate bank loans between 10 lakh and 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. This enterprise may be in manufacturing, services or the trading sector. In case of non-individual enterprises at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur."
1,Stand Up India buissness,business loan for backward,Purpose,"The objective of the Stand-Up India scheme is to facilitate bank loans between 10 lakh and 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. This enterprise may be in manufacturing, services or the trading sector. In case of non-individual enterprises at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur."
2,Stand Up India buissness,business loan for backward,Objective,"The objective of the Stand-Up India scheme is to facilitate bank loans between 10 lakh and 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. This enterprise may be in manufacturing, services or the trading sector. In case of non-individual enterprises at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur."
3,Stand Up India buissness,business loan for backward,Introduction of the scheme,"The objective of the Stand-Up India scheme is to facilitate bank loans between 10 lakh and 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. This enterprise may be in manufacturing, services or the trading sector. In case of non-individual enterprises at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur."
4,Stand Up India buissness,business loan for backward,Quantum of loan,"The loans provided under this scheme will range between the amounts of Rs 10 lakh and up to Rs 1 crore. the composite loan amount will cover 75% of the cost of the project. This includes the amount of working capital and the term loan. However, the condition that the loan shall cover 75% of the cost of the project will not be applicable in case the contribution of the borrower, along with financial support being provided from any other scheme amounts to more than 25% of the overall cost of the project."
5,Stand Up India buissness,business loan for backward,Security for loan,"In addition to primary security, the loan may require the applicant to provide collateral security or a guarantee of CGFSIL (Credit Guarantee Fund Scheme for Stand Up India Loans), as is required by the bank."
6,Stand Up India buissness,business loan for backward,Eligibility,"The individual must be above 18 years of age. The entrepreneur must either be a woman or belong to the SC or ST community.
Loans will be provided under this scheme only for funding green field projects, which implies that the venture is the very first one ever being undertaken by the applicant under the trade, services or manufacturing sector. If the loan is being taken for a non-individual enterprise, then it is compulsory that a minimum of 51% of the shareholding / controlling stake be held by a woman, SC or ST entrepreneur.The loan applicant must not be an existing defaulter to any bank or financial organization."
7,Stand Up India buissness,business loan for backward,Jurisdiction,Central
8,Stand Up India buissness,business loan for backward,Rate of Interest,The rate of interest would be lowest applicable rate of the bank for that category (rating category) not to exceed (base rate (MCLR) + 3%+ tenor pr
9,Stand Up India buissness,business loan for backward,Difference between  Stand-Up India Scheme and SMILE Scheme?,"SMILE Scheme is operated only through SIDBI for investment in projects coming upin 25 identified sectors under the Make in India programme for existing and newunits. The support is in the nature of quasi equity and term loan on relativelysoft terms, with the minimum term loan size for new units at 25 lakh. Stand-Up Indiascheme is proposed to be operated through 1.25 lakh bank branches in the country. The loans would be above10 lakh and upto100 lakh specifically for SC/ST/Women entrepreneurs setting up green field projects."
10,Stand Up India buissness,business loan for backward,repayment tenure,The repayment period of the composite loan varies depending on the nature of the business activity and useful life of the assets purchased from the bank loan but it has to be less than 7 years with a maximum moratorium period of 18 months.
11,Stand Up India buissness,business loan for backward,Which banks would come under this scheme?,"All branches of scheduled commercial banks located across the country come under this scheme.

"
